Experimental NACA 4418
a cl
-3.647669802954095 -0.00785207414582112
-1.6580374785126715 0.18845277487399
0.3316074957025492 0.35334872823566
2.652840990959561 0.5575056514012923
2.652840990959561 0.5575056514012923
4.4766853797669555 0.7302539784462116
6.4663177042083575 0.9187067533202017
8.621763263831397 1.0993071545109423
10.777196173680615 1.2013856160937584
12.766841147895832 1.2956120035307535
14.590672886929411 1.3427250474805368
16.580305211370806 1.3034640776765745
18.569950185586002 1.2720554815558618
